!Service_
Serviced,0x0
UKCommand,0x04
Error,0x06
UKByte,0x07
UKWord,0x08
Help,0x09
ReleaseFIQ,0x0b
ClaimFIQ,0x0c
Memory,0x11
StartUpFS,0x12
Reset,0x27
UKConfig,0x28
UKStatus,0x29
NewApplication,0x2a
FSRedeclare,0x40
Print,0x41
LookupFileType,0x42
International,0x43
Keyhandler,0x44
PreReset,0x45
ModeChange,0x46
ClaimFIQinBackground,0x47
ReAllocatePorts,0x48
StartWimp,0x49
StartedWimp,0x4a
StartFiler,0x4b
StartedFiler,0x4c
PreModeChange,0x4d
MemoryMoved,0x4e
FilerDying,0x4f
ModeExtension,0x50
ModeTranslation,0x51
MouseTrap,0x52
WimpCloseDown,0x53
Sound,0x54
NetFS,0x55
EconetDying,0x56
WimpReportError,0x57
ResourceFSStarted,0x59
ResourceFSDying,0x5a
CalibrationChanged,0x5b
WimpSaveDesktop,0x5c
WimpPalette,0x5d
MessageFileClosed,0x5e
NetFSDying,0x5f
ResourceFSStarting,0x60
TerritoryManagerLoaded,0x64
PDriverStarting,0x65
PDumperStarting,0x66
PDumperDying,0x67
CloseFile,0x68
IdentifyDisc,0x69
EnumerateFormats,0x6a
IdentifyFormat,0x6b
DisplayFormatHelp,0x6c
ValidateAddress,0x6d
FontsChanged,0x6e
BufferStarting,0x6f
DeviceFSStarting,0x70
DeviceFSDying,0x71
SwitchingOutputToSprite,0x72
PostInit,0x73
TerritoryStarted,0x75
MonitorLeadTranslation,0x76
PDriverGetMessage,0x78
DeviceDead,0x79
ScreenBlanked,0x7a
ScreenRestored,0x7b
DesktopWelcome,0x7c
DiscDismounted,0x7d
ShutDown,0x7e
PDriverChanged,0x7f
ShutdownComplete,0x80
DeviceFSCloseRequest,0x81
InvalidateCache,0x82
ProtocolDying,0x83
FindNetworkDriver,0x84
WimpSpritesMoved,0x85
WimpRegisterFilters,0x86
FilterManagerInstalled,0x87
FilterManagerDying,0x88
ModeChanging,0x89
Portable,0x8a
NetworkDriverStatus,0x8b
SyntaxError,0x8c
EnumerateScreenModes,0x8d
PagesUnsafe,0x8e
PagesSafe,0x8f
DynamicAreaCreate,0x90
DynamicAreaRemove,0x91
DynamicAreaRenumber,0x92
ColourPickerLoaded,0x93
EnumerateNetworkDrivers,0x9b
DCIDriverStatus,0x9d
DCIFrameTypeFree,0x9e
DCIProtocolStatus,0x9f
URI,0xa7
InternetStatus,0xb0
ADFSPodule,0x10800
ADFSPoduleIDE,0x10801
ADFSPoduleIDEDying,0x10802
ErrorStarting,0x400c0
ErrorButtonPressed,0x400c1
ErrorEnding,0x400c2
NetPrintCheckD1,0x40200
DrawObjectRender,0x45540
DrawObjectDeclareFonts,0x45541
URLProtocolModule_ProtocolModule,0x83e01
