!ColourTrans_,0x40740,,XColourTrans_,0x60740,
SelectTable,0x0
SelectGCOLTable,0x1
ReturnGCOL,0x2
SetGCOL,0x3
ReturnColourNumber,0x4
ReturnGCOLForMode,0x5
ReturnColourNumberForMode,0x6
ReturnOppGCOL,0x7
SetOppGCOL,0x8
ReturnOppColourNumber,0x9
ReturnOppGCOLForMode,0xA
ReturnOppColourNumberForMode,0xB
GCOLToColourNumber,0xC
ColourNumberToGCOL,0xD
ReturnFontColours,0xE
SetFontColours,0xF
InvalidateCache,0x10
SetCalibration,0x11
ReadCalibration,0x12
ConvertDeviceColour,0x13
ConvertDevicePalette,0x14
ConvertRGBToCIE,0x15
ConvertCIEToRGB,0x16
WriteCalibrationToFile,0x17
ConvertRGBToHSV,0x18
ConvertHSVToRGB,0x19
ConvertRGBToCMYK,0x1A
ConvertCMYKToRGB,0x1B
ReadPalette,0x1C
WritePalette,0x1D
SetColour,0x1E
MiscOp,0x1F
WriteLoadingsToFile,0x20
SetTextColour,0x21
SetOppTextColour,0x22
GenerateTable,0x23
