!Econet_,0x40000,,XEconet_,0x60000,
CreateReceive,0x0
ExamineReceive,0x1
ReadReceive,0x2
AbandonReceive,0x3
WaitForReception,0x4
EnumerateReceive,0x5
StartTransmit,0x6
PollTransmit,0x7
AbandonTransmit,0x8
DoTransmit,0x9
ReadLocalStationAndNet,0xa
ConvertStatusToString,0xb
ConvertStatusToError,0xc
ReadProtection,0xd
SetProtection,0xe
ReadStationNumber,0xf
PrintBanner,0x10
ReadTransportType,0x11
ReleasePort,0x12
AllocatePort,0x13
DeAllocatePort,0x14
ClaimPort,0x15
StartImmediate,0x16
DoImmediate,0x17
AbandonAndReadReceive,0x18
Version,0x19
NetworkState,0x1a
PacketSize,0x1b
ReadTransportName,0x1c
InetRxDirect,0x1d
EnumerateMap,0x1e
EnumerateTransit,0x1f
HardwareAddresses,0x20
NetworkParameters,0x21
