!Font_,0x40080,,XFont_,0x60080,
CacheAddr,0x0
FindFont,0x1
LoseFont,0x2
ReadDefn,0x3
ReadInfo,0x4
StringWidth,0x5
Paint,0x6
Caret,0x7
ConverttoOS,0x8
Converttopoints,0x9
SetFont,0xA
CurrentFont,0xB
FutureFont,0xC
FindCaret,0xD
CharBBox,0xE
ReadScaleFactor,0xF
SetScaleFactor,0x10
ListFonts,0x11
SetFontColours,0x12
SetPalette,0x13
ReadThresholds,0x14
SetThresholds,0x15
FindCaretJ,0x16
StringBBox,0x17
ReadColourTable,0x18
MakeBitmap,0x19
UnCacheFile,0x1A
SetFontMax,0x1B
ReadFontMax,0x1C
ReadFontPrefix,0x1D
SwitchOutputToBuffer,0x1E
ReadFontMetrics,0x1F
DecodeMenu,0x20
ScanString,0x21
SetColourTable,0x22
CurrentRGB,0x23
FutureRGB,0x24
ReadEncodingFilename,0x25
FindField,0x26
ApplyFields,0x27
LookupFont,0x28
EnumerateCharacters,0x29
