!OS_,0x0,,XOS_,0x20000,
WriteC,0x0
WriteS,0x1
Write0,0x2
NewLine,0x3
ReadC,0x4
CLI,0x5
Byte,0x6
Word,0x7
File,0x8
Args,0x9
BGet,0xA
BPut,0xB
GBPB,0xC
Find,0xD
ReadLine,0xE
Control,0xF
GetEnv,0x10
Exit,0x11
SetEnv,0x12
IntOn,0x13
IntOff,0x14
CallBack,0x15
EnterOS,0x16
BreakPt,0x17
BreakCtrl,0x18
UnusedSWI,0x19
UpdateMEMC,0x1A
SetCallBack,0x1B
Mouse,0x1C
Heap,0x1D
Module,0x1E
Claim,0x1F
Release,0x20
ReadUnsigned,0x21
GenerateEvent,0x22
ReadVarVal,0x23
SetVarVal,0x24
GSInit,0x25
GSRead,0x26
GSTrans,0x27
BinaryToDecimal,0x28
FSControl,0x29
ChangeDynamicArea,0x2A
GenerateError,0x2B
ReadEscapeState,0x2C
EvaluateExpression,0x2D
SpriteOp,0x2E
ReadPalette,0x2F
ServiceCall,0x30
ReadVduVariables,0x31
ReadPoint,0x32
UpCall,0x33
CallAVector,0x34
ReadModeVariable,0x35
RemoveCursors,0x36
RestoreCursors,0x37
SWINumberToString,0x38
SWINumberFromString,0x39
ValidateAddress,0x3A
CallAfter,0x3B
CallEvery,0x3C
RemoveTickerEvent,0x3D
InstallKeyHandler,0x3E
CheckModeValid,0x3F
ChangeEnvironment,0x40
ClaimScreenMemory,0x41
ReadMonotonicTime,0x42
SubstituteArgs,0x43
PrettyPrint,0x44
Plot,0x45
WriteN,0x46
AddToVector,0x47
WriteEnv,0x48
ReadArgs,0x49
ReadRAMFsLimits,0x4A
ClaimDeviceVector,0x4B
ReleaseDeviceVector,0x4C
DelinkApplication,0x4D
RelinkApplication,0x4E
HeapSort,0x4F
ExitAndDie,0x50
ReadMemMapInfo,0x51
ReadMemMapEntries,0x52
SetMemMapEntries,0x53
AddCallBack,0x54
ReadDefaultHandler,0x55
SetECFOrigin,0x56
SerialOp,0x57
ReadSysInfo,0x58
Confirm,0x59
ChangedBox,0x5A
CRC,0x5B
ReadDynamicArea,0x5C
PrintChar,0x5D
ChangeRedirection,0x5E
RemoveCallBack,0x5F
FindMemMapEntries,0x60
SetColour,0x61
ClaimSWI,0x62
ReleaseSWI,0x63
Pointer,0x64
ScreenMode,0x65
DynamicArea,0x66
AbortTrap,0x67
Memory,0x68
ClaimProcessorVector,0x69
Reset,0x6A
MMUControl,0x6B
ResyncTime,0x6C
PlatformFeatures,0x6D
SynchroniseCodeAreas,0x6E
CallASWI,0x6F
AMBControl,0x70
CallASWIR12,0x71
SpecialControl,0x72
EnterUSR32,0x73
EnterUSR26,0x74
VIDCDivider,0x75
NVMemory,0x76
ClaimOSSWI,0x77
TaskControl,0x78
DeviceDriver,0x79
Hardware,0x7A
IICOp,0x7B
LeaveOS,0x7C
ReadLine32,0x7D
SubstituteArgs32,0x7E
HeapSort32,0x7F
ConvertStandardDateAndTime,0xC0
ConvertDateAndTime,0xC1
ConvertHex1,0xD0
ConvertHex2,0xD1
ConvertHex4,0xD2
ConvertHex6,0xD3
ConvertHex8,0xD4
ConvertCardinal1,0xD5
ConvertCardinal2,0xD6
ConvertCardinal3,0xD7
ConvertCardinal4,0xD8
ConvertInteger1,0xD9
ConvertInteger2,0xDA
ConvertInteger3,0xDB
ConvertInteger4,0xDC
ConvertBinary1,0xDD
ConvertBinary2,0xDE
ConvertBinary3,0xDF
ConvertBinary4,0xE0
ConvertSpacedCardinal1,0xE1
ConvertSpacedCardinal2,0xE2
ConvertSpacedCardinal3,0xE3
ConvertSpacedCardinal4,0xE4
ConvertSpacedInteger1,0xE5
ConvertSpacedInteger2,0xE6
ConvertSpacedInteger3,0xE7
ConvertSpacedInteger4,0xE8
ConvertFixedNetStation,0xE9
ConvertNetStation,0xEA
ConvertFixedFileSize,0xEB
ConvertFileSize,0xEC
ConvertVariform,0xED
