!PDriver_,0x80140,,XPDriver_,0xA0140,
Info,0x0
SetInfo,0x1
CheckFeatures,0x2
PageSize,0x3
SetPageSize,0x4
SelectJob,0x5
CurrentJob,0x6
FontSWI,0x7
EndJob,0x8
AbortJob,0x9
Reset,0xA
GiveRectangle,0xB
DrawPage,0xC
GetRectangle,0xD
CancelJob,0xE
ScreenDump,0xF
EnumerateJobs,0x10
SetPrinter,0x11
CancelJobWithError,0x12
SelectIllustration,0x13
InsertIllustration,0x14
DeclareFont,0x15
DeclareDriver,0x16
RemoveDriver,0x17
SelectDriver,0x18
EnumerateDrivers,0x19
MiscOp,0x1A
MiscOpForDriver,0x1B
SetDriver,0x1C
JPEGSWI,0x1D
Command,0x1E
