!Territory_,0x43040,,XTerritory_,0x63040,
Number,0x0
Register,0x1
Deregister,0x2
NumberToName,0x3
Exists,0x4
AlphabetNumberToName,0x5
SelectAlphabet,0x6
SetTime,0x7
ReadCurrentTimeZone,0x8
ConvertTimeToUTCOrdinals,0x9
ReadTimeZones,0xA
ConvertDateAndTime,0xB
ConvertStandardDateAndTime,0xC
ConvertStandardDate,0xD
ConvertStandardTime,0xE
ConvertTimeToOrdinals,0xF
ConvertTimeStringToOrdinals,0x10
ConvertOrdinalsToTime,0x11
Alphabet,0x12
AlphabetIdentifier,0x13
SelectKeyboardHandler,0x14
WriteDirection,0x15
CharacterPropertyTable,0x16
LowerCaseTable,0x17
UpperCaseTable,0x18
ControlTable,0x19
PlainTable,0x1A
ValueTable,0x1B
RepresentationTable,0x1C
Collate,0x1D
ReadSymbols,0x1E
ReadCalendarInformation,0x1F
NameToNumber,0x20
TransformString,0x21
IME,0x22
DaylightRules,0x23
ConvertTextToString,0x35
Select,0x36
DaylightSaving,0x37
ConvertTimeFormats,0x38
#Select,0x39

