!ZapRedraw_,0x48480,,XZapRedraw_,0x68480,
RedrawArea,0x0
GetPaletteEntry,0x1
RedrawRaster,0x2
ConvertBitmap,0x3
PrepareDataLine,0x4
AddCursor,0x5
FindCharacter,0x6
MoveBytes,0x7
CachedCharSize,0x8
ConvBitmapChar,0x9
CreatePalette,0xA
InsertChar,0xB
ReadSystemChars,0xC
ReverseBitmaps,0xD
ReadVduVars,0xE
GetRectangle,0xF
AddVduBitmaps,0x10
CacheFontChars,0x11
SpriteSize,0x12
RedrawWindow,0x13
Divide,0x14
PlotRectangle,0x15
AddCursorSmart,0x16
FindFont,0x17
LoseFont,0x18
ReadCharSize,0x19
Version,0x1A
ListFonts,0x1B
UpdateWindow,0x1C
ReadFontInfo,0x1D
ReadModeBPP,0x1E
